Weapon Type,Name,Path
Great Sword,Whitefire Rathguard,natives/STM/Art/Model/Item/it00/10/0000/it0010_0000_0.mesh
Great Sword,Red Wing I,natives/STM/Art/Model/Item/it00/00/0008/it0000_0008_0.mesh
Great Sword,Rathalos Firesword,natives/STM/Art/Model/Item/it00/00/0008/it0000_0008_0.mesh
Great Sword,Immane Blade I,natives/STM/Art/Model/Item/it00/00/0010/it0000_0010_0.mesh
Great Sword,Immane Blade II,natives/STM/Art/Model/Item/it00/00/0010/it0000_0010_0.mesh
Great Sword,Immane Blade III,natives/STM/Art/Model/Item/it00/00/0010/it0000_0010_0.mesh
Great Sword,Immolator Blade,natives/STM/Art/Model/Item/it00/00/0010/it0000_0010_0.mesh
Great Sword,Schattenstolz I,natives/STM/Art/Model/Item/it00/00/0009/it0000_0009_0.mesh
Great Sword,Düsterstolz,natives/STM/Art/Model/Item/it00/00/0009/it0000_0009_0.mesh
Great Sword,Bone Blade I,natives/STM/Art/Model/Item/it00/01/0002/it0001_0002_0.mesh
Great Sword,Bone Blade II,natives/STM/Art/Model/Item/it00/01/0002/it0001_0002_0.mesh
Great Sword,Bone Blade III,natives/STM/Art/Model/Item/it00/01/0002/it0001_0002_0.mesh
Great Sword,Bone Blade IV,natives/STM/Art/Model/Item/it00/01/0002/it0001_0002_0.mesh
Great Sword,Bone Slasher,natives/STM/Art/Model/Item/it00/01/0002/it0001_0002_0.mesh
Great Sword,Nu Krake I,natives/STM/Art/Model/Item/it00/00/0011/it0000_0011_0.mesh
Great Sword,Nu Krake II,natives/STM/Art/Model/Item/it00/00/0011/it0000_0011_0.mesh
Great Sword,Abaddonian Krake,natives/STM/Art/Model/Item/it00/00/0011/it0000_0011_0.mesh
Great Sword,Slaughter I,natives/STM/Art/Model/Item/it00/00/0013/it0000_0013_0.mesh
Great Sword,Slaughter II,natives/STM/Art/Model/Item/it00/00/0013/it0000_0013_0.mesh
Great Sword,Poison King,natives/STM/Art/Model/Item/it00/00/0013/it0000_0013_0.mesh
Great Sword,Dosha Fellslayer I,natives/STM/Art/Model/Item/it00/00/0001/it0000_0001_0.mesh
Great Sword,Dosha Fellslayer II,natives/STM/Art/Model/Item/it00/00/0001/it0000_0001_0.mesh
Great Sword,Dosha Fellslayer III,natives/STM/Art/Model/Item/it00/00/0001/it0000_0001_0.mesh
Great Sword,Dosha Grimslayer I,natives/STM/Art/Model/Item/it00/10/0001/it0010_0001_0.mesh
Great Sword,Dosha Grimslayer II,natives/STM/Art/Model/Item/it00/10/0001/it0010_0001_0.mesh
Great Sword,Grimslayer Urgeom,natives/STM/Art/Model/Item/it00/10/0001/it0010_0001_0.mesh
Great Sword,Smiting Fulgur I,natives/STM/Art/Model/Item/it00/10/0002/it0010_0002_0.mesh
Great Sword,Fulgurcleaver Guardiana,natives/STM/Art/Model/Item/it00/10/0002/it0010_0002_0.mesh
Great Sword,G. Veldian Gladius I,natives/STM/Art/Model/Item/it00/00/0017/it0000_0017_0.mesh
Great Sword,G. Veldian Gladius II,natives/STM/Art/Model/Item/it00/00/0017/it0000_0017_0.mesh
Great Sword,G. Stalwart Lamorak,natives/STM/Art/Model/Item/it00/00/0017/it0000_0017_0.mesh
Great Sword,Veldian Gladius I,natives/STM/Art/Model/Item/it00/00/0024/it0000_0024_0.mesh
Great Sword,Frozen Speartuna I,natives/STM/Art/Model/Item/it00/00/0027/it0000_0027_0.mesh
Great Sword,Frozen Speartuna II,natives/STM/Art/Model/Item/it00/00/0027/it0000_0027_0.mesh
Great Sword,Freezer Speartuna,natives/STM/Art/Model/Item/it00/00/0027/it0000_0027_0.mesh
Great Sword,Paretic Blade I,natives/STM/Art/Model/Item/it00/00/0023/it0000_0023_0.mesh
Great Sword,Paretic Blade II,natives/STM/Art/Model/Item/it00/00/0023/it0000_0023_0.mesh
Great Sword,Paretic Blade III,natives/STM/Art/Model/Item/it00/00/0023/it0000_0023_0.mesh
Great Sword,Paretic Blade IV,natives/STM/Art/Model/Item/it00/00/0023/it0000_0023_0.mesh
Great Sword,Destructive Torpor,natives/STM/Art/Model/Item/it00/00/0023/it0000_0023_0.mesh
Great Sword,Artian Blade I,natives/STM/Art/Model/Item/it00/10/0003/it0010_0003_0.mesh
Great Sword,Artian Blade II,natives/STM/Art/Model/Item/it00/10/0003/it0010_0003_0.mesh
Great Sword,Varianza,natives/STM/Art/Model/Item/it00/10/0003/it0010_0003_0.mesh
Great Sword,Zoh Veiah I,natives/STM/Art/Model/Item/it00/00/0021/it0000_0021_0.mesh
Great Sword,Esperanza Blade,natives/STM/Art/Model/Item/it00/00/0004/it0000_0004_0.mesh
Great Sword,Hanayako Yohino I,natives/STM/Art/Model/Item/it00/00/0018/it0000_0018_0.mesh
Great Sword,Akanesasu,natives/STM/Art/Model/Item/it00/00/0018/it0000_0018_0.mesh
Great Sword,Shadowbringer,natives/STM/Art/Model/Item/it00/00/0031/it0000_0031_0.mesh
Great Sword,Fellslayer Dangeom,natives/STM/Art/Model/Item/it00/00/0003/it0000_0003_0.mesh
Great Sword,Stalwart Lamorak,natives/STM/Art/Model/Item/it00/00/0024/it0000_0024_0.mesh
Great Sword,Lagiacrus Blade I,natives/STM/Art/Model/Item/it00/00/0014/it0000_0014_0.mesh
Great Sword,High Lagia Blade,natives/STM/Art/Model/Item/it00/00/0014/it0000_0014_0.mesh
Great Sword,True Shadowbringer,natives/STM/Art/Model/Item/it00/00/0031/it0000_0031_0.mesh
Great Sword,Jawblade I,natives/STM/Art/Model/Item/it00/00/0000/it0000_0000_0.mesh
Great Sword,Giant Jawblade,natives/STM/Art/Model/Item/it00/00/0000/it0000_0000_0.mesh
Great Sword,Blazing Veiah,natives/STM/Art/Model/Item/it00/00/0021/it0000_0021_0.mesh
Sword & Shield,Hope Sword I (Sword),natives/STM/Art/Model/Item/it01/00/0007/it0100_0007_0.mesh
Sword & Shield,Hope Sword I (Shield),natives/STM/Art/Model/Item/it01/00/0007/it0100_0007_1.mesh
Sword & Shield,Hope Sword II (Sword),natives/STM/Art/Model/Item/it01/00/0007/it0100_0007_0.mesh
Sword & Shield,Hope Sword II (Shield),natives/STM/Art/Model/Item/it01/00/0007/it0100_0007_1.mesh
Sword & Shield,Hope Sword III (Sword),natives/STM/Art/Model/Item/it01/00/0007/it0100_0007_0.mesh
Sword & Shield,Hope Sword III (Shield),natives/STM/Art/Model/Item/it01/00/0007/it0100_0007_1.mesh
Sword & Shield,Hope Sword IV (Sword),natives/STM/Art/Model/Item/it01/00/0007/it0100_0007_0.mesh
Sword & Shield,Hope Sword IV (Shield),natives/STM/Art/Model/Item/it01/00/0007/it0100_0007_1.mesh
Sword & Shield,Hope Sword V (Sword),natives/STM/Art/Model/Item/it01/00/0007/it0100_0007_0.mesh
Sword & Shield,Hope Sword V (Shield),natives/STM/Art/Model/Item/it01/00/0007/it0100_0007_1.mesh
Sword & Shield,Rey Kuara I (Sword),natives/STM/Art/Model/Item/it01/00/0010/it0100_0010_0.mesh
Sword & Shield,Rey Kuara I (Shield),natives/STM/Art/Model/Item/it01/00/0010/it0100_0010_1.mesh
Sword & Shield,Rey Kuara II (Sword),natives/STM/Art/Model/Item/it01/00/0010/it0100_0010_0.mesh
Sword & Shield,Rey Kuara II (Shield),natives/STM/Art/Model/Item/it01/00/0010/it0100_0010_1.mesh
Sword & Shield,Rey Kuara III (Sword),natives/STM/Art/Model/Item/it01/00/0010/it0100_0010_0.mesh
Sword & Shield,Rey Kuara III (Shield),natives/STM/Art/Model/Item/it01/00/0010/it0100_0010_1.mesh
Sword & Shield,Kuara Clairsword (Sword),natives/STM/Art/Model/Item/it01/00/0010/it0100_0010_0.mesh
Sword & Shield,Kuara Clairsword (Shield),natives/STM/Art/Model/Item/it01/00/0010/it0100_0010_1.mesh
Sword & Shield,Naab Sword I (Sword),natives/STM/Art/Model/Item/it01/00/0006/it0100_0006_0.mesh
Sword & Shield,Naab Sword I (Shield),natives/STM/Art/Model/Item/it01/00/0006/it0100_0006_1.mesh
Sword & Shield,Feral Fangs (Sword),natives/STM/Art/Model/Item/it01/00/0006/it0100_0006_0.mesh
Sword & Shield,Feral Fangs (Shield),natives/STM/Art/Model/Item/it01/00/0006/it0100_0006_1.mesh
Sword & Shield,Sucher-Ankh I (Sword),natives/STM/Art/Model/Item/it01/00/0013/it0100_0013_0.mesh
Sword & Shield,Sucher-Ankh I (Shield),natives/STM/Art/Model/Item/it01/00/0013/it0100_0013_1.mesh
Sword & Shield,Jäger-Ankh (Sword),natives/STM/Art/Model/Item/it01/00/0013/it0100_0013_0.mesh
Sword & Shield,Jäger-Ankh (Shield),natives/STM/Art/Model/Item/it01/00/0013/it0100_0013_1.mesh
Sword & Shield,Barina Dague I (Sword),natives/STM/Art/Model/Item/it01/00/0027/it0100_0027_0.mesh
Sword & Shield,Barina Dague I (Shield),natives/STM/Art/Model/Item/it01/00/0027/it0100_0027_1.mesh
Sword & Shield,Barina Dague II (Sword),natives/STM/Art/Model/Item/it01/00/0027/it0100_0027_0.mesh
Sword & Shield,Barina Dague II (Shield),natives/STM/Art/Model/Item/it01/00/0027/it0100_0027_1.mesh
Sword & Shield,Barina Dague III (Sword),natives/STM/Art/Model/Item/it01/00/0027/it0100_0027_0.mesh
Sword & Shield,Barina Dague III (Shield),natives/STM/Art/Model/Item/it01/00/0027/it0100_0027_1.mesh
Sword & Shield,Barina Dague IV (Sword),natives/STM/Art/Model/Item/it01/00/0027/it0100_0027_0.mesh
Sword & Shield,Barina Dague IV (Shield),natives/STM/Art/Model/Item/it01/00/0027/it0100_0027_1.mesh
Sword & Shield,Lala Acanthopelm (Sword),natives/STM/Art/Model/Item/it01/00/0033/it0100_0033_0.mesh
Sword & Shield,Lala Acanthopelm (Shield),natives/STM/Art/Model/Item/it01/00/0033/it0100_0033_1.mesh
Sword & Shield,Quematrice Cuchillo I (Sword),natives/STM/Art/Model/Item/it01/00/0002/it0100_0002_0.mesh
Sword & Shield,Quematrice Cuchillo I (Shield),natives/STM/Art/Model/Item/it01/00/0002/it0100_0002_1.mesh
Sword & Shield,Quematrice Cuchillo II (Sword),natives/STM/Art/Model/Item/it01/00/0002/it0100_0002_0.mesh
Sword & Shield,Quematrice Cuchillo II (Shield),natives/STM/Art/Model/Item/it01/00/0002/it0100_0002_1.mesh
Sword & Shield,Quematrice Cuchillo III (Sword),natives/STM/Art/Model/Item/it01/00/0002/it0100_0002_0.mesh
Sword & Shield,Quematrice Cuchillo III (Shield),natives/STM/Art/Model/Item/it01/00/0002/it0100_0002_1.mesh
Sword & Shield,Quematrice Cuchillo IV (Sword),natives/STM/Art/Model/Item/it01/00/0002/it0100_0002_0.mesh
Sword & Shield,Quematrice Cuchillo IV (Shield),natives/STM/Art/Model/Item/it01/00/0002/it0100_0002_1.mesh
Sword & Shield,Firetrail Fornax (Sword),natives/STM/Art/Model/Item/it01/00/0003/it0100_0003_0.mesh
Sword & Shield,Firetrail Fornax (Shield),natives/STM/Art/Model/Item/it01/00/0003/it0100_0003_1.mesh
Sword & Shield,Gravios Syphos I (Sword),natives/STM/Art/Model/Item/it01/00/0019/it0100_0019_0.mesh
Sword & Shield,Gravios Syphos I (Shield),natives/STM/Art/Model/Item/it01/00/0019/it0100_0019_1.mesh
Sword & Shield,Titan's Armament (Sword),natives/STM/Art/Model/Item/it01/00/0019/it0100_0019_0.mesh
Sword & Shield,Titan's Armament (Shield),natives/STM/Art/Model/Item/it01/00/0019/it0100_0019_1.mesh
Sword & Shield,Iron Beater I (Sword),natives/STM/Art/Model/Item/it01/01/0002/it0101_0002_0.mesh
Sword & Shield,Iron Beater I (Shield),natives/STM/Art/Model/Item/it01/01/0002/it0101_0002_1.mesh
Sword & Shield,Iron Beater II (Sword),natives/STM/Art/Model/Item/it01/01/0002/it0101_0002_0.mesh
Sword & Shield,Iron Beater II (Shield),natives/STM/Art/Model/Item/it01/01/0002/it0101_0002_1.mesh
Sword & Shield,Iron Beater III (Sword),natives/STM/Art/Model/Item/it01/01/0002/it0101_0002_0.mesh
Sword & Shield,Iron Beater III (Shield),natives/STM/Art/Model/Item/it01/01/0002/it0101_0002_1.mesh
Sword & Shield,Smithy's Pride (Sword),natives/STM/Art/Model/Item/it01/01/0002/it0101_0002_0.mesh
Sword & Shield,Smithy's Pride (Shield),natives/STM/Art/Model/Item/it01/01/0002/it0101_0002_1.mesh
Sword & Shield,Jin Dhaklab I (Sword),natives/STM/Art/Model/Item/it01/00/0023/it0100_0023_0.mesh
Sword & Shield,Jin Dhaklab I (Shield),natives/STM/Art/Model/Item/it01/00/0023/it0100_0023_1.mesh
Sword & Shield,Precipice Mateptro (Sword),natives/STM/Art/Model/Item/it01/00/0023/it0100_0023_0.mesh
Sword & Shield,Precipice Mateptro (Shield),natives/STM/Art/Model/Item/it01/00/0023/it0100_0023_1.mesh
Sword & Shield,Albirath Edge I (Sword),natives/STM/Art/Model/Item/it01/10/0000/it0110_0000_0.mesh
Sword & Shield,Albirath Edge I (Shield),natives/STM/Art/Model/Item/it01/10/0000/it0110_0000_1.mesh
Sword & Shield,Albirath Edge II (Sword),natives/STM/Art/Model/Item/it01/10/0000/it0110_0000_0.mesh
Sword & Shield,Albirath Edge II (Shield),natives/STM/Art/Model/Item/it01/10/0000/it0110_0000_1.mesh
Sword & Shield,Melting Point (Sword),natives/STM/Art/Model/Item/it01/10/0000/it0110_0000_0.mesh
Sword & Shield,Melting Point (Shield),natives/STM/Art/Model/Item/it01/10/0000/it0110_0000_1.mesh
Sword & Shield,Heat Edge I (Sword),natives/STM/Art/Model/Item/it01/00/0012/it0100_0012_0.mesh
Sword & Shield,Heat Edge I (Shield),natives/STM/Art/Model/Item/it01/00/0012/it0100_0012_1.mesh
Sword & Shield,Corona (Sword),natives/STM/Art/Model/Item/it01/00/0012/it0100_0012_0.mesh
Sword & Shield,Corona (Shield),natives/STM/Art/Model/Item/it01/00/0012/it0100_0012_1.mesh
Sword & Shield,Princess Rapier I (Sword),natives/STM/Art/Model/Item/it01/00/0011/it0100_0011_0.mesh
Sword & Shield,Princess Rapier I (Shield),natives/STM/Art/Model/Item/it01/00/0011/it0100_0011_1.mesh
Sword & Shield,Princess Rapier II (Sword),natives/STM/Art/Model/Item/it01/00/0011/it0100_0011_0.mesh
Sword & Shield,Princess Rapier II (Shield),natives/STM/Art/Model/Item/it01/00/0011/it0100_0011_1.mesh
Sword & Shield,Queen Rapier (Sword),natives/STM/Art/Model/Item/it01/00/0011/it0100_0011_0.mesh
Sword & Shield,Queen Rapier (Shield),natives/STM/Art/Model/Item/it01/00/0011/it0100_0011_1.mesh
Sword & Shield,Scaly Sword I (Sword),natives/STM/Art/Model/Item/it01/00/0014/it0100_0014_0.mesh
Sword & Shield,Scaly Sword I (Shield),natives/STM/Art/Model/Item/it01/00/0014/it0100_0014_1.mesh
Sword & Shield,Scaly Sword II (Sword),natives/STM/Art/Model/Item/it01/00/0014/it0100_0014_0.mesh
Sword & Shield,Scaly Sword II (Shield),natives/STM/Art/Model/Item/it01/00/0014/it0100_0014_1.mesh
Sword & Shield,Scaly Sword III (Sword),natives/STM/Art/Model/Item/it01/00/0014/it0100_0014_0.mesh
Sword & Shield,Scaly Sword III (Shield),natives/STM/Art/Model/Item/it01/00/0014/it0100_0014_1.mesh
Sword & Shield,Nerskiller (Sword),natives/STM/Art/Model/Item/it01/00/0014/it0100_0014_0.mesh
Sword & Shield,Nerskiller (Shield),natives/STM/Art/Model/Item/it01/00/0014/it0100_0014_1.mesh
Sword & Shield,Balahara Blade I (Sword),natives/STM/Art/Model/Item/it01/00/0008/it0100_0008_0.mesh
Sword & Shield,Balahara Blade I (Shield),natives/STM/Art/Model/Item/it01/00/0008/it0100_0008_1.mesh
Sword & Shield,Balahara Blade II (Sword),natives/STM/Art/Model/Item/it01/00/0008/it0100_0008_0.mesh
Sword & Shield,Balahara Blade II (Shield),natives/STM/Art/Model/Item/it01/00/0008/it0100_0008_1.mesh
Sword & Shield,Balahara Blade III (Sword),natives/STM/Art/Model/Item/it01/00/0008/it0100_0008_0.mesh
Sword & Shield,Balahara Blade III (Shield),natives/STM/Art/Model/Item/it01/00/0008/it0100_0008_1.mesh
Sword & Shield,Balahara Blade IV (Sword),natives/STM/Art/Model/Item/it01/00/0008/it0100_0008_0.mesh
Sword & Shield,Balahara Blade IV (Shield),natives/STM/Art/Model/Item/it01/00/0008/it0100_0008_1.mesh
Sword & Shield,Sandsea Katduva (Sword),natives/STM/Art/Model/Item/it01/00/0009/it0100_0009_0.mesh
Sword & Shield,Sandsea Katduva (Shield),natives/STM/Art/Model/Item/it01/00/0009/it0100_0009_1.mesh
Sword & Shield,Bone Kukri I (Sword),natives/STM/Art/Model/Item/it01/01/0001/it0101_0001_0.mesh
Sword & Shield,Bone Kukri I (Shield),natives/STM/Art/Model/Item/it01/01/0001/it0101_0001_1.mesh
Sword & Shield,Bone Kukri II (Sword),natives/STM/Art/Model/Item/it01/01/0001/it0101_0001_0.mesh
Sword & Shield,Bone Kukri II (Shield),natives/STM/Art/Model/Item/it01/01/0001/it0101_0001_1.mesh
Sword & Shield,Bone Kukri III (Sword),natives/STM/Art/Model/Item/it01/01/0001/it0101_0001_0.mesh
Sword & Shield,Bone Kukri III (Shield),natives/STM/Art/Model/Item/it01/01/0001/it0101_0001_1.mesh
Sword & Shield,Bone Kukri IV (Sword),natives/STM/Art/Model/Item/it01/01/0001/it0101_0001_0.mesh
Sword & Shield,Bone Kukri IV (Shield),natives/STM/Art/Model/Item/it01/01/0001/it0101_0001_1.mesh
Sword & Shield,Chief Kukri (Sword),natives/STM/Art/Model/Item/it01/01/0001/it0101_0001_0.mesh
Sword & Shield,Chief Kukri (Shield),natives/STM/Art/Model/Item/it01/01/0001/it0101_0001_1.mesh
Sword & Shield,Rending Fulgur I (Sword),natives/STM/Art/Model/Item/it01/10/0002/it0110_0002_0.mesh
Sword & Shield,Rending Fulgur I (Shield),natives/STM/Art/Model/Item/it01/10/0002/it0110_0002_1.mesh
Sword & Shield,Fulgursword Guardiana (Sword),natives/STM/Art/Model/Item/it01/10/0002/it0110_0002_0.mesh
Sword & Shield,Fulgursword Guardiana (Shield),natives/STM/Art/Model/Item/it01/10/0002/it0110_0002_1.mesh
Sword & Shield,Venom's Pain I (Sword),natives/STM/Art/Model/Item/it01/00/0016/it0100_0016_0.mesh
Sword & Shield,Venom's Pain I (Shield),natives/STM/Art/Model/Item/it01/00/0016/it0100_0016_1.mesh
Sword & Shield,Venom's Pain II (Sword),natives/STM/Art/Model/Item/it01/00/0016/it0100_0016_0.mesh
Sword & Shield,Venom's Pain II (Shield),natives/STM/Art/Model/Item/it01/00/0016/it0100_0016_1.mesh
Sword & Shield,Viperine Saber (Sword),natives/STM/Art/Model/Item/it01/00/0016/it0100_0016_0.mesh
Sword & Shield,Viperine Saber (Shield),natives/STM/Art/Model/Item/it01/00/0016/it0100_0016_1.mesh
Sword & Shield,Ajara Saber I (Sword),natives/STM/Art/Model/Item/it01/00/0015/it0100_0015_0.mesh
Sword & Shield,Ajara Saber I (Shield),natives/STM/Art/Model/Item/it01/00/0015/it0100_0015_1.mesh
Sword & Shield,Ajara Saber II (Sword),natives/STM/Art/Model/Item/it01/00/0015/it0100_0015_0.mesh
Sword & Shield,Ajara Saber II (Shield),natives/STM/Art/Model/Item/it01/00/0015/it0100_0015_1.mesh
Sword & Shield,Ajara-Subinda (Sword),natives/STM/Art/Model/Item/it01/00/0015/it0100_0015_0.mesh
Sword & Shield,Ajara-Subinda (Shield),natives/STM/Art/Model/Item/it01/00/0015/it0100_0015_1.mesh
Sword & Shield,Snow-white Jambiya I (Sword),natives/STM/Art/Model/Item/it01/00/0020/it0100_0020_0.mesh
Sword & Shield,Snow-white Jambiya I (Shield),natives/STM/Art/Model/Item/it01/00/0020/it0100_0020_1.mesh
Sword & Shield,Snow Lion Jambiya (Sword),natives/STM/Art/Model/Item/it01/00/0020/it0100_0020_0.mesh
Sword & Shield,Snow Lion Jambiya (Shield),natives/STM/Art/Model/Item/it01/00/0020/it0100_0020_1.mesh
Sword & Shield,Chata Club I (Sword),natives/STM/Art/Model/Item/it01/00/0004/it0100_0004_0.mesh
Sword & Shield,Chata Club I (Shield),natives/STM/Art/Model/Item/it01/00/0004/it0100_0004_1.mesh
Sword & Shield,Chata Club II (Sword),natives/STM/Art/Model/Item/it01/00/0004/it0100_0004_0.mesh
Sword & Shield,Chata Club II (Shield),natives/STM/Art/Model/Item/it01/00/0004/it0100_0004_1.mesh
Sword & Shield,Chata Club III (Sword),natives/STM/Art/Model/Item/it01/00/0004/it0100_0004_0.mesh
Sword & Shield,Chata Club III (Shield),natives/STM/Art/Model/Item/it01/00/0004/it0100_0004_1.mesh
Sword & Shield,Chata Club IV (Sword),natives/STM/Art/Model/Item/it01/00/0004/it0100_0004_0.mesh
Sword & Shield,Chata Club IV (Shield),natives/STM/Art/Model/Item/it01/00/0004/it0100_0004_1.mesh
Sword & Shield,Nihil Sword I (Sword),natives/STM/Art/Model/Item/it01/00/0024/it0100_0024_0.mesh
Sword & Shield,Nihil Sword I (Shield),natives/STM/Art/Model/Item/it01/00/0024/it0100_0024_1.mesh
Sword & Shield,Nihil Sword II (Sword),natives/STM/Art/Model/Item/it01/00/0024/it0100_0024_0.mesh
Sword & Shield,Nihil Sword II (Shield),natives/STM/Art/Model/Item/it01/00/0024/it0100_0024_1.mesh
Sword & Shield,Cordayle's Revocation (Sword),natives/STM/Art/Model/Item/it01/00/0024/it0100_0024_0.mesh
Sword & Shield,Cordayle's Revocation (Shield),natives/STM/Art/Model/Item/it01/00/0024/it0100_0024_1.mesh
Sword & Shield,G. Veldian Mucro I (Sword),natives/STM/Art/Model/Item/it01/00/0022/it0100_0022_0.mesh
Sword & Shield,G. Veldian Mucro I (Shield),natives/STM/Art/Model/Item/it01/00/0022/it0100_0022_1.mesh
Sword & Shield,G. Veldian Mucro II (Sword),natives/STM/Art/Model/Item/it01/00/0022/it0100_0022_0.mesh
Sword & Shield,G. Veldian Mucro II (Shield),natives/STM/Art/Model/Item/it01/00/0022/it0100_0022_1.mesh
Sword & Shield,G. Guiding Artorius (Sword),natives/STM/Art/Model/Item/it01/00/0022/it0100_0022_0.mesh
Sword & Shield,G. Guiding Artorius (Shield),natives/STM/Art/Model/Item/it01/00/0022/it0100_0022_1.mesh
Sword & Shield,Veldian Mucro I (Sword),natives/STM/Art/Model/Item/it01/00/0028/it0100_0028_0.mesh
Sword & Shield,Veldian Mucro I (Shield),natives/STM/Art/Model/Item/it01/00/0028/it0100_0028_1.mesh
Sword & Shield,Artian Sword I (Sword),natives/STM/Art/Model/Item/it01/10/0003/it0110_0003_0.mesh
Sword & Shield,Artian Sword I (Shield),natives/STM/Art/Model/Item/it01/10/0003/it0110_0003_1.mesh
Sword & Shield,Artian Sword II (Sword),natives/STM/Art/Model/Item/it01/10/0003/it0110_0003_0.mesh
Sword & Shield,Artian Sword II (Shield),natives/STM/Art/Model/Item/it01/10/0003/it0110_0003_1.mesh
Sword & Shield,Verdoloto (Sword),natives/STM/Art/Model/Item/it01/10/0003/it0110_0003_0.mesh
Sword & Shield,Verdoloto (Shield),natives/STM/Art/Model/Item/it01/10/0003/it0110_0003_1.mesh
Sword & Shield,Zoh Mikal I (Sword),natives/STM/Art/Model/Item/it01/00/0025/it0100_0025_0.mesh
Sword & Shield,Zoh Mikal I (Shield),natives/STM/Art/Model/Item/it01/00/0025/it0100_0025_1.mesh
Sword & Shield,Blazing Mikal (Sword),natives/STM/Art/Model/Item/it01/00/0025/it0100_0025_0.mesh
Sword & Shield,Blazing Mikal (Shield),natives/STM/Art/Model/Item/it01/00/0025/it0100_0025_1.mesh
Sword & Shield,Esperanza Sword (Sword),natives/STM/Art/Model/Item/it01/00/0007/it0100_0007_0.mesh
Sword & Shield,Esperanza Sword (Shield),natives/STM/Art/Model/Item/it01/00/0007/it0100_0007_1.mesh
Sword & Shield,Shrouded Katalo (Sword),natives/STM/Art/Model/Item/it01/00/0005/it0100_0005_0.mesh
Sword & Shield,Shrouded Katalo (Shield),natives/STM/Art/Model/Item/it01/00/0005/it0100_0005_1.mesh
Sword & Shield,Guiding Artorius (Sword),natives/STM/Art/Model/Item/it01/00/0028/it0100_0028_0.mesh
Sword & Shield,Guiding Artorius (Shield),natives/STM/Art/Model/Item/it01/00/0028/it0100_0028_1.mesh
Sword & Shield,Hana no Nagoriwo I (Sword),natives/STM/Art/Model/Item/it01/00/0030/it0100_0030_0.mesh
Sword & Shield,Hana no Nagoriwo I (Shield),natives/STM/Art/Model/Item/it01/00/0030/it0100_0030_1.mesh
Sword & Shield,Kurenawi Ougi (Sword),natives/STM/Art/Model/Item/it01/00/0030/it0100_0030_0.mesh
