Name,Equip Gender,Style Gender,Path
Leather Gloves,Female,Male,natives/STM/Art/Model/Character/ch03/005/000/1/ch03_005_0001
Leather Gloves,Female,Female,natives/STM/Art/Model/Character/ch03/005/001/1/ch03_005_0011
Leather Belt,Male,Male,natives/STM/Art/Model/Character/ch02/005/000/5/ch02_005_0005
Leather Belt,Male,Female,natives/STM/Art/Model/Character/ch02/005/001/5/ch02_005_0015
Leather Belt,Female,Male,natives/STM/Art/Model/Character/ch03/005/000/5/ch03_005_0005
Leather Belt,Female,Female,natives/STM/Art/Model/Character/ch03/005/001/5/ch03_005_0015
Leather Pants,Male,Male,natives/STM/Art/Model/Character/ch02/005/000/4/ch02_005_0004
Leather Pants,Male,Female,natives/STM/Art/Model/Character/ch02/005/001/4/ch02_005_0014
Leather Pants,Female,Male,natives/STM/Art/Model/Character/ch03/005/000/4/ch03_005_0004
Leather Pants,Female,Female,natives/STM/Art/Model/Character/ch03/005/001/4/ch03_005_0014
Chainmail Headgear,Male,Male,natives/STM/Art/Model/Character/ch02/006/000/3/ch02_006_0003
Chainmail Headgear,Male,Female,natives/STM/Art/Model/Character/ch02/006/001/3/ch02_006_0013
Chainmail Headgear,Female,Male,natives/STM/Art/Model/Character/ch03/006/000/3/ch03_006_0003
Chainmail Headgear,Female,Female,natives/STM/Art/Model/Character/ch03/006/001/3/ch03_006_0013
Chainmail Vest,Male,Male,natives/STM/Art/Model/Character/ch02/006/000/2/ch02_006_0002
Chainmail Vest,Male,Female,natives/STM/Art/Model/Character/ch02/006/001/2/ch02_006_0012
Chainmail Vest,Female,Male,natives/STM/Art/Model/Character/ch03/006/000/2/ch03_006_0002
Chainmail Vest,Female,Female,natives/STM/Art/Model/Character/ch03/006/001/2/ch03_006_0012
Chainmail Gloves,Male,Male,natives/STM/Art/Model/Character/ch02/006/000/1/ch02_006_0001
Chainmail Gloves,Male,Female,natives/STM/Art/Model/Character/ch02/006/001/1/ch02_006_0011
Chainmail Gloves,Female,Male,natives/STM/Art/Model/Character/ch03/006/000/1/ch03_006_0001
Chainmail Gloves,Female,Female,natives/STM/Art/Model/Character/ch03/006/001/1/ch03_006_0011
Chainmail Belt,Male,Male,natives/STM/Art/Model/Character/ch02/006/000/5/ch02_006_0005
Chainmail Belt,Male,Female,natives/STM/Art/Model/Character/ch02/006/001/5/ch02_006_0015
Chainmail Belt,Female,Male,natives/STM/Art/Model/Character/ch03/006/000/5/ch03_006_0005
Chainmail Belt,Female,Female,natives/STM/Art/Model/Character/ch03/006/001/5/ch03_006_0015
Chainmail Pants,Male,Male,natives/STM/Art/Model/Character/ch02/006/000/4/ch02_006_0004
Chainmail Pants,Male,Female,natives/STM/Art/Model/Character/ch02/006/001/4/ch02_006_0014
Chainmail Pants,Female,Male,natives/STM/Art/Model/Character/ch03/006/000/4/ch03_006_0004
Chainmail Pants,Female,Female,natives/STM/Art/Model/Character/ch03/006/001/4/ch03_006_0014
Bone Helm,Male,Male,natives/STM/Art/Model/Character/ch02/004/000/3/ch02_004_0003
Bone Helm,Male,Female,natives/STM/Art/Model/Character/ch02/004/001/3/ch02_004_0013
Bone Helm,Female,Male,natives/STM/Art/Model/Character/ch03/004/000/3/ch03_004_0003
Bone Helm,Female,Female,natives/STM/Art/Model/Character/ch03/004/001/3/ch03_004_0013
Bone Mail,Male,Male,natives/STM/Art/Model/Character/ch02/004/000/2/ch02_004_0002
Bone Mail,Male,Female,natives/STM/Art/Model/Character/ch02/004/001/2/ch02_004_0012
Bone Mail,Female,Male,natives/STM/Art/Model/Character/ch03/004/000/2/ch03_004_0002
Bone Mail,Female,Female,natives/STM/Art/Model/Character/ch03/004/001/2/ch03_004_0012
Bone Vambraces,Male,Male,natives/STM/Art/Model/Character/ch02/004/000/1/ch02_004_0001
Bone Vambraces,Male,Female,natives/STM/Art/Model/Character/ch02/004/001/1/ch02_004_0011
Bone Vambraces,Female,Male,natives/STM/Art/Model/Character/ch03/004/000/1/ch03_004_0001
Bone Vambraces,Female,Female,natives/STM/Art/Model/Character/ch03/004/001/1/ch03_004_0011
Bone Coil,Male,Male,natives/STM/Art/Model/Character/ch02/004/000/5/ch02_004_0005
Bone Coil,Male,Female,natives/STM/Art/Model/Character/ch02/004/001/5/ch02_004_0015
Bone Coil,Female,Male,natives/STM/Art/Model/Character/ch03/004/000/5/ch03_004_0005
Bone Coil,Female,Female,natives/STM/Art/Model/Character/ch03/004/001/5/ch03_004_0015
Bone Greaves,Male,Male,natives/STM/Art/Model/Character/ch02/004/000/4/ch02_004_0004
Bone Greaves,Male,Female,natives/STM/Art/Model/Character/ch02/004/001/4/ch02_004_0014
Bone Greaves,Female,Male,natives/STM/Art/Model/Character/ch03/004/000/4/ch03_004_0004
Bone Greaves,Female,Female,natives/STM/Art/Model/Character/ch03/004/001/4/ch03_004_0014
Bulaqchi Specs,Male,Male,natives/STM/Art/Model/Character/ch02/016/000/3/ch02_016_0003
Bulaqchi Specs,Male,Female,natives/STM/Art/Model/Character/ch02/016/001/3/ch02_016_0013
Bulaqchi Specs,Female,Male,natives/STM/Art/Model/Character/ch03/016/000/3/ch03_016_0003
Bulaqchi Specs,Female,Female,natives/STM/Art/Model/Character/ch03/016/001/3/ch03_016_0013
Talioth Vambraces,Male,Male,natives/STM/Art/Model/Character/ch02/007/000/1/ch02_007_0001
Talioth Vambraces,Male,Female,natives/STM/Art/Model/Character/ch02/007/001/1/ch02_007_0011
Talioth Vambraces,Female,Male,natives/STM/Art/Model/Character/ch03/007/000/1/ch03_007_0001
Talioth Vambraces,Female,Female,natives/STM/Art/Model/Character/ch03/007/001/1/ch03_007_0011
Chatacabra Helm,Male,Male,natives/STM/Art/Model/Character/ch02/008/000/3/ch02_008_0003
Chatacabra Helm,Male,Female,natives/STM/Art/Model/Character/ch02/008/001/3/ch02_008_0013
Chatacabra Helm,Female,Male,natives/STM/Art/Model/Character/ch03/008/000/3/ch03_008_0003
Chatacabra Helm,Female,Female,natives/STM/Art/Model/Character/ch03/008/001/3/ch03_008_0013
Chatacabra Mail,Male,Male,natives/STM/Art/Model/Character/ch02/008/000/2/ch02_008_0002
Chatacabra Mail,Male,Female,natives/STM/Art/Model/Character/ch02/008/001/2/ch02_008_0012
Chatacabra Mail,Female,Male,natives/STM/Art/Model/Character/ch03/008/000/2/ch03_008_0002
Chatacabra Mail,Female,Female,natives/STM/Art/Model/Character/ch03/008/001/2/ch03_008_0012
Chatacabra Vambraces,Male,Male,natives/STM/Art/Model/Character/ch02/008/000/1/ch02_008_0001
Chatacabra Vambraces,Male,Female,natives/STM/Art/Model/Character/ch02/008/001/1/ch02_008_0011
Chatacabra Vambraces,Female,Male,natives/STM/Art/Model/Character/ch03/008/000/1/ch03_008_0001
Chatacabra Vambraces,Female,Female,natives/STM/Art/Model/Character/ch03/008/001/1/ch03_008_0011
Chatacabra Coil,Male,Male,natives/STM/Art/Model/Character/ch02/008/000/5/ch02_008_0005
Chatacabra Coil,Male,Female,natives/STM/Art/Model/Character/ch02/008/001/5/ch02_008_0015
Chatacabra Coil,Female,Male,natives/STM/Art/Model/Character/ch03/008/000/5/ch03_008_0005
Chatacabra Coil,Female,Female,natives/STM/Art/Model/Character/ch03/008/001/5/ch03_008_0015
Chatacabra Greaves,Male,Male,natives/STM/Art/Model/Character/ch02/008/000/4/ch02_008_0004
Chatacabra Greaves,Male,Female,natives/STM/Art/Model/Character/ch02/008/001/4/ch02_008_0014
Chatacabra Greaves,Female,Male,natives/STM/Art/Model/Character/ch03/008/000/4/ch03_008_0004
Chatacabra Greaves,Female,Female,natives/STM/Art/Model/Character/ch03/008/001/4/ch03_008_0014
Quematrice Helm,Male,Male,natives/STM/Art/Model/Character/ch02/009/000/3/ch02_009_0003
Quematrice Helm,Male,Female,natives/STM/Art/Model/Character/ch02/009/001/3/ch02_009_0013
Quematrice Helm,Female,Male,natives/STM/Art/Model/Character/ch03/009/000/3/ch03_009_0003
Quematrice Helm,Female,Female,natives/STM/Art/Model/Character/ch03/009/001/3/ch03_009_0013
Quematrice Mail,Male,Male,natives/STM/Art/Model/Character/ch02/009/000/2/ch02_009_0002
Quematrice Mail,Male,Female,natives/STM/Art/Model/Character/ch02/009/001/2/ch02_009_0012
Quematrice Mail,Female,Male,natives/STM/Art/Model/Character/ch03/009/000/2/ch03_009_0002
Quematrice Mail,Female,Female,natives/STM/Art/Model/Character/ch03/009/001/2/ch03_009_0012
Quematrice Braces,Male,Male,natives/STM/Art/Model/Character/ch02/009/000/1/ch02_009_0001
Quematrice Braces,Male,Female,natives/STM/Art/Model/Character/ch02/009/001/1/ch02_009_0011
Quematrice Braces,Female,Male,natives/STM/Art/Model/Character/ch03/009/000/1/ch03_009_0001
Quematrice Braces,Female,Female,natives/STM/Art/Model/Character/ch03/009/001/1/ch03_009_0011
Quematrice Coil,Male,Male,natives/STM/Art/Model/Character/ch02/009/000/5/ch02_009_0005
Quematrice Coil,Male,Female,natives/STM/Art/Model/Character/ch02/009/001/5/ch02_009_0015
Quematrice Coil,Female,Male,natives/STM/Art/Model/Character/ch03/009/000/5/ch03_009_0005
Quematrice Coil,Female,Female,natives/STM/Art/Model/Character/ch03/009/001/5/ch03_009_0015
Quematrice Greaves,Male,Male,natives/STM/Art/Model/Character/ch02/009/000/4/ch02_009_0004
Quematrice Greaves,Male,Female,natives/STM/Art/Model/Character/ch02/009/001/4/ch02_009_0014
Quematrice Greaves,Female,Male,natives/STM/Art/Model/Character/ch03/009/000/4/ch03_009_0004
Quematrice Greaves,Female,Female,natives/STM/Art/Model/Character/ch03/009/001/4/ch03_009_0014
Alloy Helm,Male,Male,natives/STM/Art/Model/Character/ch02/010/000/3/ch02_010_0003
Alloy Helm,Male,Female,natives/STM/Art/Model/Character/ch02/010/001/3/ch02_010_0013
Alloy Helm,Female,Male,natives/STM/Art/Model/Character/ch03/010/000/3/ch03_010_0003
Alloy Helm,Female,Female,natives/STM/Art/Model/Character/ch03/010/001/3/ch03_010_0013
Alloy Mail,Male,Male,natives/STM/Art/Model/Character/ch02/010/000/2/ch02_010_0002
Alloy Mail,Male,Female,natives/STM/Art/Model/Character/ch02/010/001/2/ch02_010_0012
Alloy Mail,Female,Male,natives/STM/Art/Model/Character/ch03/010/000/2/ch03_010_0002
Alloy Mail,Female,Female,natives/STM/Art/Model/Character/ch03/010/001/2/ch03_010_0012
Alloy Vambraces,Male,Male,natives/STM/Art/Model/Character/ch02/010/000/1/ch02_010_0001
Alloy Vambraces,Male,Female,natives/STM/Art/Model/Character/ch02/010/001/1/ch02_010_0011
Alloy Vambraces,Female,Male,natives/STM/Art/Model/Character/ch03/010/000/1/ch03_010_0001
Alloy Vambraces,Female,Female,natives/STM/Art/Model/Character/ch03/010/001/1/ch03_010_0011
Alloy Coil,Male,Male,natives/STM/Art/Model/Character/ch02/010/000/5/ch02_010_0005
Alloy Coil,Male,Female,natives/STM/Art/Model/Character/ch02/010/001/5/ch02_010_0015
Alloy Coil,Female,Male,natives/STM/Art/Model/Character/ch03/010/000/5/ch03_010_0005
Alloy Coil,Female,Female,natives/STM/Art/Model/Character/ch03/010/001/5/ch03_010_0015
Alloy Greaves,Male,Male,natives/STM/Art/Model/Character/ch02/010/000/4/ch02_010_0004
Alloy Greaves,Male,Female,natives/STM/Art/Model/Character/ch02/010/001/4/ch02_010_0014
Alloy Greaves,Female,Male,natives/STM/Art/Model/Character/ch03/010/000/4/ch03_010_0004
Alloy Greaves,Female,Female,natives/STM/Art/Model/Character/ch03/010/001/4/ch03_010_0014
Piragill Greaves,Male,Male,natives/STM/Art/Model/Character/ch02/011/000/4/ch02_011_0004
Piragill Greaves,Male,Female,natives/STM/Art/Model/Character/ch02/011/001/4/ch02_011_0014
Piragill Greaves,Female,Male,natives/STM/Art/Model/Character/ch03/011/000/4/ch03_011_0004
Piragill Greaves,Female,Female,natives/STM/Art/Model/Character/ch03/011/001/4/ch03_011_0014
Vespoid Helm,Male,Male,natives/STM/Art/Model/Character/ch02/028/000/3/ch02_028_0003
Vespoid Helm,Male,Female,natives/STM/Art/Model/Character/ch02/028/001/3/ch02_028_0013
Vespoid Helm,Female,Male,natives/STM/Art/Model/Character/ch03/028/000/3/ch03_028_0003
Vespoid Helm,Female,Female,natives/STM/Art/Model/Character/ch03/028/001/3/ch03_028_0013
Vespoid Mail,Male,Male,natives/STM/Art/Model/Character/ch02/028/000/2/ch02_028_0002
Vespoid Mail,Male,Female,natives/STM/Art/Model/Character/ch02/028/001/2/ch02_028_0012
Vespoid Mail,Female,Male,natives/STM/Art/Model/Character/ch03/028/000/2/ch03_028_0002
Vespoid Mail,Female,Female,natives/STM/Art/Model/Character/ch03/028/001/2/ch03_028_0012
Vespoid Vambraces,Male,Male,natives/STM/Art/Model/Character/ch02/028/000/1/ch02_028_0001
Vespoid Vambraces,Male,Female,natives/STM/Art/Model/Character/ch02/028/001/1/ch02_028_0011
Vespoid Vambraces,Female,Male,natives/STM/Art/Model/Character/ch03/028/000/1/ch03_028_0001
Vespoid Vambraces,Female,Female,natives/STM/Art/Model/Character/ch03/028/001/1/ch03_028_0011
Vespoid Coil,Male,Male,natives/STM/Art/Model/Character/ch02/028/000/5/ch02_028_0005
Vespoid Coil,Male,Female,natives/STM/Art/Model/Character/ch02/028/001/5/ch02_028_0015
Vespoid Coil,Female,Male,natives/STM/Art/Model/Character/ch03/028/000/5/ch03_028_0005
Vespoid Coil,Female,Female,natives/STM/Art/Model/Character/ch03/028/001/5/ch03_028_0015
Vespoid Greaves,Male,Male,natives/STM/Art/Model/Character/ch02/028/000/4/ch02_028_0004
Vespoid Greaves,Male,Female,natives/STM/Art/Model/Character/ch02/028/001/4/ch02_028_0014
Vespoid Greaves,Female,Male,natives/STM/Art/Model/Character/ch03/028/000/4/ch03_028_0004
Vespoid Greaves,Female,Female,natives/STM/Art/Model/Character/ch03/028/001/4/ch03_028_0014
Barina Headgear,Male,Male,natives/STM/Art/Model/Character/ch02/012/000/3/ch02_012_0003
Barina Headgear,Male,Female,natives/STM/Art/Model/Character/ch02/012/001/3/ch02_012_0013
Barina Headgear,Female,Male,natives/STM/Art/Model/Character/ch03/012/000/3/ch03_012_0003
Barina Headgear,Female,Female,natives/STM/Art/Model/Character/ch03/012/001/3/ch03_012_0013
Barina Mail,Male,Male,natives/STM/Art/Model/Character/ch02/012/000/2/ch02_012_0002
Barina Mail,Male,Female,natives/STM/Art/Model/Character/ch02/012/001/2/ch02_012_0012
Barina Mail,Female,Male,natives/STM/Art/Model/Character/ch03/012/000/2/ch03_012_0002
Barina Mail,Female,Female,natives/STM/Art/Model/Character/ch03/012/001/2/ch03_012_0012
Barina Vambraces,Male,Male,natives/STM/Art/Model/Character/ch02/012/000/1/ch02_012_0001
Barina Vambraces,Male,Female,natives/STM/Art/Model/Character/ch02/012/001/1/ch02_012_0011
Barina Vambraces,Female,Male,natives/STM/Art/Model/Character/ch03/012/000/1/ch03_012_0001
Barina Vambraces,Female,Female,natives/STM/Art/Model/Character/ch03/012/001/1/ch03_012_0011
Barina Coil,Male,Male,natives/STM/Art/Model/Character/ch02/012/000/5/ch02_012_0005
Barina Coil,Male,Female,natives/STM/Art/Model/Character/ch02/012/001/5/ch02_012_0015
Barina Coil,Female,Male,natives/STM/Art/Model/Character/ch03/012/000/5/ch03_012_0005
Barina Coil,Female,Female,natives/STM/Art/Model/Character/ch03/012/001/5/ch03_012_0015
Barina Greaves,Male,Male,natives/STM/Art/Model/Character/ch02/012/000/4/ch02_012_0004
Barina Greaves,Male,Female,natives/STM/Art/Model/Character/ch02/012/001/4/ch02_012_0014
Barina Greaves,Female,Male,natives/STM/Art/Model/Character/ch03/012/000/4/ch03_012_0004
Barina Greaves,Female,Female,natives/STM/Art/Model/Character/ch03/012/001/4/ch03_012_0014
Conga Helm,Male,Male,natives/STM/Art/Model/Character/ch02/013/000/3/ch02_013_0003
Conga Helm,Male,Female,natives/STM/Art/Model/Character/ch02/013/001/3/ch02_013_0013
Conga Helm,Female,Male,natives/STM/Art/Model/Character/ch03/013/000/3/ch03_013_0003
Conga Helm,Female,Female,natives/STM/Art/Model/Character/ch03/013/001/3/ch03_013_0013
Conga Mail,Male,Male,natives/STM/Art/Model/Character/ch02/013/000/2/ch02_013_0002
Conga Mail,Male,Female,natives/STM/Art/Model/Character/ch02/013/001/2/ch02_013_0012
Conga Mail,Female,Male,natives/STM/Art/Model/Character/ch03/013/000/2/ch03_013_0002
Conga Mail,Female,Female,natives/STM/Art/Model/Character/ch03/013/001/2/ch03_013_0012
Conga Vambraces,Male,Male,natives/STM/Art/Model/Character/ch02/013/000/1/ch02_013_0001
Conga Vambraces,Male,Female,natives/STM/Art/Model/Character/ch02/013/001/1/ch02_013_0011
Conga Vambraces,Female,Male,natives/STM/Art/Model/Character/ch03/013/000/1/ch03_013_0001
Conga Vambraces,Female,Female,natives/STM/Art/Model/Character/ch03/013/001/1/ch03_013_0011
Conga Coil,Male,Male,natives/STM/Art/Model/Character/ch02/013/000/5/ch02_013_0005
Conga Coil,Male,Female,natives/STM/Art/Model/Character/ch02/013/001/5/ch02_013_0015
Conga Coil,Female,Male,natives/STM/Art/Model/Character/ch03/013/000/5/ch03_013_0005
Conga Coil,Female,Female,natives/STM/Art/Model/Character/ch03/013/001/5/ch03_013_0015
Conga Greaves,Male,Male,natives/STM/Art/Model/Character/ch02/013/000/4/ch02_013_0004
Conga Greaves,Male,Female,natives/STM/Art/Model/Character/ch02/013/001/4/ch02_013_0014
Conga Greaves,Female,Male,natives/STM/Art/Model/Character/ch03/013/000/4/ch03_013_0004
Conga Greaves,Female,Female,natives/STM/Art/Model/Character/ch03/013/001/4/ch03_013_0014
Balahara Helm,Male,Male,natives/STM/Art/Model/Character/ch02/014/000/3/ch02_014_0003
Balahara Helm,Male,Female,natives/STM/Art/Model/Character/ch02/014/001/3/ch02_014_0013
Balahara Helm,Female,Male,natives/STM/Art/Model/Character/ch03/014/000/3/ch03_014_0003
Balahara Helm,Female,Female,natives/STM/Art/Model/Character/ch03/014/001/3/ch03_014_0013
Balahara Mail,Male,Male,natives/STM/Art/Model/Character/ch02/014/000/2/ch02_014_0002
Balahara Mail,Male,Female,natives/STM/Art/Model/Character/ch02/014/001/2/ch02_014_0012
Balahara Mail,Female,Male,natives/STM/Art/Model/Character/ch03/014/000/2/ch03_014_0002
Balahara Mail,Female,Female,natives/STM/Art/Model/Character/ch03/014/001/2/ch03_014_0012
Balahara Vambraces,Male,Male,natives/STM/Art/Model/Character/ch02/014/000/1/ch02_014_0001
Balahara Vambraces,Male,Female,natives/STM/Art/Model/Character/ch02/014/001/1/ch02_014_0011
Balahara Vambraces,Female,Male,natives/STM/Art/Model/Character/ch03/014/000/1/ch03_014_0001
Balahara Vambraces,Female,Female,natives/STM/Art/Model/Character/ch03/014/001/1/ch03_014_0011
Balahara Coil,Male,Male,natives/STM/Art/Model/Character/ch02/014/000/5/ch02_014_0005
Balahara Coil,Male,Female,natives/STM/Art/Model/Character/ch02/014/001/5/ch02_014_0015
Balahara Coil,Female,Male,natives/STM/Art/Model/Character/ch03/014/000/5/ch03_014_0005
Balahara Coil,Female,Female,natives/STM/Art/Model/Character/ch03/014/001/5/ch03_014_0015
Balahara Greaves,Male,Male,natives/STM/Art/Model/Character/ch02/014/000/4/ch02_014_0004
Balahara Greaves,Male,Female,natives/STM/Art/Model/Character/ch02/014/001/4/ch02_014_0014
Balahara Greaves,Female,Male,natives/STM/Art/Model/Character/ch03/014/000/4/ch03_014_0004
Balahara Greaves,Female,Female,natives/STM/Art/Model/Character/ch03/014/001/4/ch03_014_0014
Doshaguma Helm,Male,Male,natives/STM/Art/Model/Character/ch02/003/000/3/ch02_003_0003
Doshaguma Helm,Male,Female,natives/STM/Art/Model/Character/ch02/003/001/3/ch02_003_0013
Doshaguma Helm,Female,Male,natives/STM/Art/Model/Character/ch03/003/000/3/ch03_003_0003
Doshaguma Helm,Female,Female,natives/STM/Art/Model/Character/ch03/003/001/3/ch03_003_0013
Doshaguma Mail,Male,Male,natives/STM/Art/Model/Character/ch02/003/000/2/ch02_003_0002
Doshaguma Mail,Male,Female,natives/STM/Art/Model/Character/ch02/003/001/2/ch02_003_0012
Doshaguma Mail,Female,Male,natives/STM/Art/Model/Character/ch03/003/000/2/ch03_003_0002
Doshaguma Mail,Female,Female,natives/STM/Art/Model/Character/ch03/003/001/2/ch03_003_0012
Doshaguma Braces,Male,Male,natives/STM/Art/Model/Character/ch02/003/000/1/ch02_003_0001
Doshaguma Braces,Male,Female,natives/STM/Art/Model/Character/ch02/003/001/1/ch02_003_0011
Doshaguma Braces,Female,Male,natives/STM/Art/Model/Character/ch03/003/000/1/ch03_003_0001
Doshaguma Braces,Female,Female,natives/STM/Art/Model/Character/ch03/003/001/1/ch03_003_0011
Doshaguma Coil,Male,Male,natives/STM/Art/Model/Character/ch02/003/000/5/ch02_003_0005
Doshaguma Coil,Male,Female,natives/STM/Art/Model/Character/ch02/003/001/5/ch02_003_0015
Doshaguma Coil,Female,Male,natives/STM/Art/Model/Character/ch03/003/000/5/ch03_003_0005
Doshaguma Coil,Female,Female,natives/STM/Art/Model/Character/ch03/003/001/5/ch03_003_0015
Doshaguma Greaves,Male,Male,natives/STM/Art/Model/Character/ch02/003/000/4/ch02_003_0004
Doshaguma Greaves,Male,Female,natives/STM/Art/Model/Character/ch02/003/001/4/ch02_003_0014
Doshaguma Greaves,Female,Male,natives/STM/Art/Model/Character/ch03/003/000/4/ch03_003_0004
Doshaguma Greaves,Female,Female,natives/STM/Art/Model/Character/ch03/003/001/4/ch03_003_0014
Duna Wildhelm,Male,Male,natives/STM/Art/Model/Character/ch02/017/000/3/ch02_017_0003
Duna Wildhelm,Male,Female,natives/STM/Art/Model/Character/ch02/017/001/3/ch02_017_0013
Duna Wildhelm,Female,Male,natives/STM/Art/Model/Character/ch03/017/000/3/ch03_017_0003
Duna Wildhelm,Female,Female,natives/STM/Art/Model/Character/ch03/017/001/3/ch03_017_0013
Duna Wildmail,Male,Male,natives/STM/Art/Model/Character/ch02/017/000/2/ch02_017_0002
Duna Wildmail,Male,Female,natives/STM/Art/Model/Character/ch02/017/001/2/ch02_017_0012
Duna Wildmail,Female,Male,natives/STM/Art/Model/Character/ch03/017/000/2/ch03_017_0002
Duna Wildmail,Female,Female,natives/STM/Art/Model/Character/ch03/017/001/2/ch03_017_0012
Duna Wildbraces,Male,Male,natives/STM/Art/Model/Character/ch02/017/000/1/ch02_017_0001
Duna Wildbraces,Male,Female,natives/STM/Art/Model/Character/ch02/017/001/1/ch02_017_0011
Duna Wildbraces,Female,Male,natives/STM/Art/Model/Character/ch03/017/000/1/ch03_017_0001
Duna Wildbraces,Female,Female,natives/STM/Art/Model/Character/ch03/017/001/1/ch03_017_0011
Duna Wildcoil,Male,Male,natives/STM/Art/Model/Character/ch02/017/000/5/ch02_017_0005
Duna Wildcoil,Male,Female,natives/STM/Art/Model/Character/ch02/017/001/5/ch02_017_0015
Duna Wildcoil,Female,Male,natives/STM/Art/Model/Character/ch03/017/000/5/ch03_017_0005
Duna Wildcoil,Female,Female,natives/STM/Art/Model/Character/ch03/017/001/5/ch03_017_0015
Duna Wildgreaves,Male,Male,natives/STM/Art/Model/Character/ch02/017/000/4/ch02_017_0004
Duna Wildgreaves,Male,Female,natives/STM/Art/Model/Character/ch02/017/001/4/ch02_017_0014
Duna Wildgreaves,Female,Male,natives/STM/Art/Model/Character/ch03/017/000/4/ch03_017_0004
Duna Wildgreaves,Female,Female,natives/STM/Art/Model/Character/ch03/017/001/4/ch03_017_0014
Ingot Helm,Male,Male,natives/STM/Art/Model/Character/ch02/015/000/3/ch02_015_0003
Ingot Helm,Male,Female,natives/STM/Art/Model/Character/ch02/015/001/3/ch02_015_0013
Ingot Helm,Female,Male,natives/STM/Art/Model/Character/ch03/015/000/3/ch03_015_0003
Ingot Helm,Female,Female,natives/STM/Art/Model/Character/ch03/015/001/3/ch03_015_0013
Ingot Mail,Male,Male,natives/STM/Art/Model/Character/ch02/015/000/2/ch02_015_0002
Ingot Mail,Male,Female,natives/STM/Art/Model/Character/ch02/015/001/2/ch02_015_0012
Ingot Mail,Female,Male,natives/STM/Art/Model/Character/ch03/015/000/2/ch03_015_0002
Ingot Mail,Female,Female,natives/STM/Art/Model/Character/ch03/015/001/2/ch03_015_0012
Ingot Vambraces,Male,Male,natives/STM/Art/Model/Character/ch02/015/000/1/ch02_015_0001
Ingot Vambraces,Male,Female,natives/STM/Art/Model/Character/ch02/015/001/1/ch02_015_0011
Ingot Vambraces,Female,Male,natives/STM/Art/Model/Character/ch03/015/000/1/ch03_015_0001
Ingot Vambraces,Female,Female,natives/STM/Art/Model/Character/ch03/015/001/1/ch03_015_0011
Ingot Coil,Male,Male,natives/STM/Art/Model/Character/ch02/015/000/5/ch02_015_0005
